run_id,firm_id,announcement_quarter,target_quarter,eps_guidance,revenue_guidance,actual_eps,actual_revenue,guidance_error
run_1776455700,firm_0,1,2,-3.5,0.0,0.0,0.0,0.0
run_1776455700,firm_1,1,2,-7.25,0.0,0.0,0.0,0.0
run_1776455700,firm_2,1,2,0.38,0.0,0.0,0.0,0.0
run_1776455700,firm_3,1,2,0.1,0.0,0.0,0.0,0.0
run_1776455700,firm_4,1,2,-4.75,0.0,0.0,0.0,0.0
run_1776455700,firm_0,2,3,-3.3,0.0,0.0,0.0,0.0
run_1776455700,firm_1,2,3,-3.0,0.0,0.0,0.0,0.0
run_1776455700,firm_2,2,3,0.42,0.0,0.0,0.0,0.0
run_1776455700,firm_3,2,3,0.25,0.0,0.0,0.0,0.0
run_1776455700,firm_4,2,3,-5.25,0.0,0.0,0.0,0.0
run_1776455700,firm_0,3,4,-3.5,0.0,0.0,0.0,0.0
run_1776455700,firm_1,3,4,-2.75,0.0,0.0,0.0,0.0
run_1776455700,firm_2,3,4,0.28,0.0,0.0,0.0,0.0
run_1776455700,firm_3,3,4,0.15,0.0,0.0,0.0,0.0
run_1776455700,firm_4,3,4,-2.0,0.0,0.0,0.0,0.0
run_1776455700,firm_0,4,5,-2.8,0.0,0.0,0.0,0.0
run_1776455700,firm_1,4,5,-1.25,0.0,0.0,0.0,0.0
run_1776455700,firm_2,4,5,0.15,0.0,0.0,0.0,0.0
run_1776455700,firm_3,4,5,0.25,0.0,0.0,0.0,0.0
run_1776455700,firm_4,4,5,-0.9,0.0,0.0,0.0,0.0
run_1776455700,firm_1,5,6,-0.45,0.0,0.0,0.0,0.0
run_1776455700,firm_2,5,6,0.05,0.0,0.0,0.0,0.0
run_1776455700,firm_3,5,6,1.5,0.0,0.0,0.0,0.0
run_1776455700,firm_4,5,6,-0.65,0.0,0.0,0.0,0.0
run_1776455700,firm_1,6,7,-0.03,0.0,0.0,0.0,0.0
run_1776455700,firm_2,6,7,0.12,0.0,0.0,0.0,0.0
run_1776455700,firm_3,6,7,1.5,0.0,0.0,0.0,0.0
run_1776455700,firm_4,6,7,-0.5,0.0,0.0,0.0,0.0
run_1776455700,firm_1,7,8,-0.01,0.0,0.0,0.0,0.0
run_1776455700,firm_2,7,8,0.15,0.0,0.0,0.0,0.0
run_1776455700,firm_3,7,8,1.50,0.0,0.0,0.0,0.0
run_1776455700,firm_4,7,8,-0.47,0.0,0.0,0.0,0.0
run_1776455700,firm_1,8,9,-0.01,0.0,0.0,0.0,0.0
run_1776455700,firm_2,8,9,0.05,0.0,0.0,0.0,0.0
run_1776455700,firm_4,8,9,-0.46,0.0,0.0,0.0,0.0
